Text,Label,hard,,
Seeing so much Elliot Anderson prop and it's all so bittersweet. One of the best midfielders in the world plays for my club.,reaction,,72,reaction
"pretty happy with today's match honestly. Messi's getting all the attention of course but I think our defence isn’t getting enough plaudits, they were massive. Austria had plenty of the ball at times and they could get nowhere near. Same thing as Algeria. Apparently the free kick they had in the second half was the only shot on target we’ve conceded this World Cup so far.",analysis,,56,hot take
"At the end of 2012, Messi earned the dubious record (dubious because it's not a record and nobody cared before or since) of scoring the most goals in a calendar year with 91.",hot take,,74,analysis
"In the 1980s and 1990s, Portuguese public television had a very well-known commentator called Gabriel Alves, famous for his unusual and often unintentionally funny phrases while commentating football matches. His voice became strongly linked in my memory to the World Cups of my childhood, as well as European football throughout the 90s. Nowadays he has mostly disappeared from television, but he hasn’t been forgotten, and every now and then people share lists of his most memorable lines. Here are some of them:

“Low shot at mid-height over the bar!”",reaction,,,
"World Cup Mbappé is absolutely crazy.

3 WCs, won the first, hat-trick in the final to almost win the second one, and now he equals Ronaldo and is 3 goals away from Messi to be top scorer too.",reaction,,,
"I’ve throughly enjoyed this WC so far but I’m genuinely bored of the group stages now, need to get to KOs we’ve got another whole week of GS games and so many 3rd games will be dead rubbers",reaction,,,
"Hope every forward in the tournament listens to that Joe Hart analysis he just did on the World Cup ball. Very useful insight.

Also think Olivier Giroud has very good potential as a pundit with a little more confidence and more reps under his belt",hot take,,,
I really hate that ”Esta Locuraaaaaa” song,reaction,,,
"CR7 was better than Messi for brief periods - pre 2010, 2013-2016/17. But since then Messi has pulled clear.",hot take,,,
"Nah these interruptions is what I feared. You just know we’ll be getting a nasty one in a semi final or something

Surely the yanks can launch a jet into the air with some chemicals to mitigate it. Soviets were doing so in the 1980 Olympics",reaction,,,
"It may be a bit borderline, but moving to a back 3 could benefit Argentina. Medina is a beast defensively, i could think a back 3 of him, Cuti and Licha makes the most sense.

Then wingbacks I would try Giuliano and Nico Gonzalez. Molina and Montiel are not up to our standards at the moment.",reaction,,,
"England has a top team, but they suffer from tin man syndrome. No heart in them when the going gets tough, they are historically always chickening out when the pressure reaches them.",hot take,,,
"Not that Alvarez isn’t a great player but I’m still not convinced the hype that Barca fans have for him wouldn’t be about, maybe 10% less, if he wasn’t Argentinan",hot take,,,
"The Messi/Ronaldo discussion is genuinely one of the worst thing in football. I don't not have the same rapport with Messi as other Barcelona fans because I started truly supporting club the season after he left. Apparently, it was way, way worse in the 2010s ? Jesus Christ, it don't even want to imagine the level of toxicity back then.",hot take,,,
"It's more settled now. In the 2010's it was genuinely 33% Messi, 33% Ronaldo and 33% can't decide. Plus you had them actually play each other 2-5 times pr season, so it would just come up a lot more.",reaction,,,
Messi just isnt influencing 2nd phase the way he used to. At 39 hes finally fully reduced to being a G/A merchant,hot take,,,
Just about everything Poch has done has turned out magnificently but he *did* select a squad with only four midfielders and now one of the reserves has an injury so we might have to play a starter (and probably a really important one - McKennie or Tilman) in a dead rubber game that doesn’t matter at all,analysis,,,
Argentina's defence has been somewhat impressive but I really want to see it tested by a top tier team. Really solid vs Austria,reaction,,,
"Finally watched the Messi 2nd goal everyone here’s been banging on about. What are you lot smoking, that goal’s so bad it’s comical",reaction,,,
Alexi has nothing of value to offer in terms of commentary whatsoever. Wtf was any of that bullshit you just said,reaction,,,
"Fox sports: ""Portugal's Ronaldo Problem""

As a Ronaldo fan I can definitely say for sure the guy is delusional to think he can still play at a top level at his age with his playing style, but the press definitely does not help out with taming the flames. He has always been a sports journalist's punching bag, and while it could be said its deserved, I was very surprised to see this headline immediately after his arch rival's historic match today.",reaction,,,
"Golden boot for world cup this year will be hot, Mbappe, Haaland, a 39 yo. Messi (he has always been very unfair) and my sleeper personal pick is Undav (although that depends on the amount of minutes he gets)",hot take,,,
Its still so weird watching Messi go from a light jog to the most dangerous man on the pitch in seconds.,reaction,,,
"Juste Fontaine scored 13 goals in 6 games in the 1958 World Cup for France. Nobody has come close to scoring that many goals since then. It's been out of reach for decades.

But now with the expanded size of the cup, the inclusion of lower quality teams and an additional knock-out round, it's doable.",analysis,,,
"It's really interesting how despite Messi being the greatest of all time, having won last year, playing for a frankly fairly unlikeable team, still has neutrals on his side.",reaction,,,
Pretty crazy France has the reigning ballon dor winner and he’s so clearly the third best attacker on the team,hot take,,,
"In the very unrealistic scenario that Uruguay hold Spain to a goal less draw and Cape Verde beat Saudi and score enough to have more goals than Spain overall, we will get Spain vs Argentina in the next round.",analysis,,,
"Reminder, MLS and the premier league have the same amount of ballon d’or winners in the last 15 years.",hot take,,,
This England team is capable of beating anyone on paper but the problem is always choking when it really matters. You guys dominated France in 2022 as well and we all know how that ended. Maybe Tuchel will be the one to finally get them across the line but I just don't trust England to deliver when the stakes are highest,hot take,,,
"I think hiring Lionel Scaloni was an inspiring choice by AFA, he has been an excellent coach for them.

After what happened with Sampaoli, they needed someone to steady the ship.

His assistants Pablo Aimar, Walter Samuel and others are excellent as well in keeping the squad running.",hot take,,,
Messi the first player from mls to win balon dor,hot take,,,
"Ronaldinho is a Brazilian professional footballer who plays as an attacking midfielder or left winger for Serie C side Ravenna.""

What a fever dream sentence to read, and Serie C still has known teams such as Livorno, Catania, Treviso, Bari, Crotone, Salernitana, etc.",reaction,,,
"Imagine being Mbappe and Haland man, about 6 to 7 years ago you two were routed as the next big things after the two greatest players of the last 15 years, skip forward to 2026 and suddenly one of those two has returned from their vacation in Miami and going toe to toe with your peak physical prowess at 39 in the freaking World Cup, must be tough man",reaction,,,
5 goals in 2 games for Messi. Ronaldo has scored 8 goals in 6 world cups so far. This was never a fair comparison.,hot take,,,
Messi falling short between 2014-2016 is the platform for him wince 2021. Best thing that ever happened to him honestly. His team mates all grew up watching him and are willing to die on the pitch for him. Hes truly their inspiration,hot take,,,
I must admit I did not expect Messi to break Klose's record. I thought 2022 was an outlier and he'd have a quieter World Cup this year at 38 years old. I firmly expected Mbappe to be the one to break the record. ,reaction,,,
"Rangnicks a joke isn’t he, Austria looked hopeless. United fans were once convinced he was the saviour

In other news Messi looks like god still. Club football might look like an entirely different sport by 2036 to International level, if it doesn’t already",hot take,,,
"It was flimsy, but the fight against ""Messi is the GOAT"" we put up in the mid-late 2010s was really fun. Barcelona no longer making deep UCL runs, Sanchez, Vidal and company beating his ass into faux retirement only to come back and be shut down in the next World Cup. Amplifying ""UEFAlona"" shouts to discredit the past. Good times.",reaction,ambiguous,,
"I pick Norway to win tonight, Senegal looked good in the last few months leading up to the cup but their form this window has looked rough. A loss to the USA and a draw with Saudi in the friendlies. Then  France had their way with them in the second half of their first match. I’m a bit worried for them cause if they lose tonight they’re in a really bad spot.",analysis,,,
I can see Argentina winning it this year again tbf. They got some of that Real Madrid black magic the moment Scalloni stepped in.,hot take,,,
"Kinda ironic that Top Scorer changed consecutively 3 times from 1950 to 1954 to 1958 and then it was solidified at 1974 by Gerd Muller.

It took 32 years for Ronaldo to break that record in 2006, 8 years for Klose and now 12 years for Messi.",analysis,,,
"I feel like FIFA has made a conscious decision to advise refs to call fewer fouls, give fewer cards, and to let the game flow more. There has been an obvious shift to allow a more physical style of play and to punish diving harder.",hot take,,,
"Random fact: in the past, and I mean the past past, English and Scottish champions of their respective leagues and cups used to compete in a super cup style game called the ""Football World Championship"", and then they quietly dropped it in 1904, presumably because the English and Scottish FAs finally got their hands on a world map.",reaction,,,
Liverpool sub making me Irrationally angry saying that we should be asking £50m+ for a 26 year old Curtis jones who has still never been a regular starter for us. 34 appearances for us last season in the PL with 16 of them being from the bench and subbed off in 9 of the 18 he started. He’s a decent bench option and a local kid so want him to stay but he’s a mid table PL player at best.,analysis,,,
"
Olivier Giroud and Tim Vickery both hitting the nail on the head with our lack of wingers going into this tournament smh

I swear if we get dunked on by Carney off the bench I won't know what to do lol",reaction,,,
"Trionda is Jabulani 2.0 (too smooth), its why a lot of weird goals have been going in this tournament e.g., Messi v Zidane, Kim v Mexico, etc.",hot take,ambiguous,,
"English football had been professional since 1885, and by the mid-1920s Austria, Hungary, Italy and the US had salaried players who were ineligible for the Olympics, so the case for a separate Fifa competition was clear. With its postwar Olympic wins and the year 1930 marking the country’s centenary, Uruguay was the obvious choice as host, but the competition’s beginnings were friable. Rimet organised a French side, but the coach and some players declined to travel.",analysis,,,
"I am more and more convinced Bielsa would've been considered a mastermind if he'd gone the 2017 Scaloni route and become an analyst instead

He knows a lot about football and his conceptions of tactics are good by themselves but he's repeatedly had issues in every other facet of managing a team",analysis,,,
"just read in the Athletic an interesting quirk in the change of format for this World Cup, with head to heads replacing GD as the tiebreaker in the groups, but GD being the tiebreaker when it comes to deciding which third placed teams qualify for the knockouts. So in theory you could have a third placed team in a group not qualifying as one of the best third placed teams, because they have bad GD, whereas the 4th placed team in that group might actually have much better GD that would've qualified them.",analysis,,,
"Hot Take; this World Cup has shown there is enough talent for an expanded field without the quality suffering. I’d much rather them just bite the bullet and go to 64, having the third place teams qualify has removed a lot of the tension of the group stage.",hot take,,,
"Germany is winning the world cup, mark my words",hot take,,,
"fter watching the England goals against Croatia, I realised that Madueke won the penalty, won the corner that led to the second goal, and his movement off the ball helped Jude make that solo run for third goal.

I know Saka is the better player and got that assist off the bench, but I think Madueke deserves to be rewarded for that performance with another start. What do other England fans think?",analysis,,,
"Each goal that Messi scores for Argentina at a World Cup, Scaloni's legacy fades that bit more

Give it 20 years and all anyone will remember him as the man who ran the training drills for Messi's team mates",hot take,,,
I feel like Mbappe's eventual record will be shattered in tbe future. A 48 team World Cup which will eventually be expanded to 64 means the elite attackers will have more opportunities to stat pad.,hot take,,,
"At the end of 2012, Messi earned the dubious record (dubious because it's not a record and nobody cared before or since) of scoring the most goals in a calendar year with 91.

At the same time, Messi in 2012 had just 1 (one) goal in a World Cup, the sixth in the 6-0 vs Serbia&Montenegro.

In 2021, after winning his 7th BdO, he still only had 6 WC goals, all in group stages, vs S&B, Bosnia, Iran, Nigeria, and Nigeria.",analysis,,,
cape verde has a good chance of winning the world cup,hot take,,,
Imgain how good egypt would be if marnoush started to actually play like he is a 60 million player playing in man city,hot take,,,
Hot take Germany is closer to being a dark horse than Japan is this time around.,hot take,,,
It's pretty funny how Tuchel's initial midfield subs against Croatia made so little sense that a significant portion of people seem to have just tricked themselves into thinking they didn't happen.,reaction,,,
"Just finished Ian Graham’s book on Liverpool and data analytics

Reading between the lines he’s scathing about Brendan Rogers, practically throws him under the bus for every pre-Klopp problem

Very defensive about Naby Keita as well.",reaction,,,
"1986 was Peak Maradona.

 

OTD, 22 June 1986, in the same World Cup quarter final, in four minutes Maradona scored the Hand of God (an illegal handball the ref allowed) and then the Goal of the Century (that run past basically the whole England team). Argentina won 2-1 and went on to win it all.",analysis,,,
Haiti/Scotland's draw in this world cup is absolutely brutal. They got one of the toughest groups with Brazil and Morocco. If they finish 3rd they are projected to get Germany in the third round. If they finish 2nd they would get Netherlands. And as of now the winners get Japan.,analysis,,,
"Some bizarre scheduling at this World Cup. Group B finishes first on June 24th but the winner doesn’t play again until July 2nd, with 8 days rest. Yet, Group I’s winner, who finish on the 26th, has to play on June 30th, with only 4 days rest. Doesn’t seem the most fair.",analysis,,,
"England is so winning it tbh, Tuchel is the GOAT and they're playing like a top club side. Don't even see Spain doing something about it. Too much depth of talent like France except in a collective gameplan higher than the sum of their parts like Spain. And i won't even be mad due to our rightful issues with the Rosbifs, love seeing countries who haven't won in ages or at all do it. If it was Argentina or Spain or Germany winning it i'd be more bothered.",hot take,,,
"The fact that senegal vs norway is broadcast at 2 am and that the referee we got apparently has a reputation, I feel like I am going to wake up to some bullshit tomorrow, just hope it benefits us",reaction,,,
"Belgium haven’t looked particularly exciting so far.

Spain’s first game was all the worst parts of Spain in the tiki-taka era but they looked infinitely better against SA.",hot take,,,
"The teams that disappointed me the most so far are Algeria, Argentina, Australia, Austria, Belgium, Bosnia and Herzegovina, Brazil, Canada, England, Colombia, Croatia, Curaçao, Czech Republic, DR Congo, Ecuador, Egypt, England, France, Ghana, Haiti, Iran, Iraq, Ivory Coast, Japan, Jordan, Mexico, Morocco, Netherlands, New Zealand, Norway, Panama, Paraguay, Portugal, Qatar, Saudi Arabia, Scotland, Senegal, South Africa, South Korea, Spain, Sweden, Switzerland, Tunisia, Turkey, United States, Uruguay and Uzbekistan.",reaction,,,
Ref in the New Zealand game was very bad at his job and biased to Egypt. Shouldn’t be reffing at this level.,reaction,,,
Useless fact: Madibo's tackle on Kone is the first tackle to receive a straight red card at the World Cup since 2014. Russia and Qatar were relatively clean tournaments (there were 3 tackles to see red in Brazil).,analysis,,,
The fact that it took Egypt 96 years to win one world cup match is mad,reaction,,,
"This Doku drama is so stupid. We will probably have another another Sky Sport stat like Foden - Has three children, but this time it will be for Doku - Missed World Cup match due to birth of first child.",analysis,,,
"Belgium put themselves in a very tricky situation, Doku will have to come back for the match against New Zealand",hot take,,,
"There is a pretty realistic chance Cape Verde top the group, it will happen if they beat Saudi Arabia and Uruguay beat Spain.",analysis,,,
Mbappe is a smart lad but not smart enough to know he should have went to Madrid in 2022. Would have a UCL and Ballon d'Or by now.,hot take,,,
"On paper, only 3 teams have qualified for the RO32 (USA, Mexico, Germany).

However, if we expand the list to include teams already at 4 points (4 points is 99% guaranteed at least top eight in the 3rd place rankings), then it becomes 11 teams (Canada, Switzerland, Brazil, Morocco, Japan, Netherland, Egypt Spain).",analysis,,,
"Four years thrown to the trash because Bielsa decided to play El Loco persona.

Amazing.",reaction,,,
Cape Verde are like the March madness school that nobody’s heard of that beats the 2 seeded powerhouse and maybe goes on a run to the elite 8,reaction,,,
"The Copa America was also pretty bad, should’ve topped the group at least. Ecuador always underperform in that but maybe it was a sign of things to come that the side couldn’t step up in the big games.",hot take,,,
"Any chance Iran still qualify , if they draw mean 3 points with 0 GD . Seems danger to me",analysis,,,
"With only four third placed teams being eliminated, the final group matches would be nuts.

I like this format.",reaction,,,
"I can’t lie gang this World Cup has been electric, I’ve barely slept much on some of these days but it’s been so worth it. I personally love how many teams there are, it gives vibes of “everyone is here”, just a constant barrage of countries and storylines to follow. 11 days of an insane amount of football",reaction,,,
Endrick will score five goals this World Cup,hot take,,,
Decent chance Uruguay finish last in their group...Absolutely no one would have predicted that.,reaction,,,
"Today's games, Mbappe and Messi's performances were like two monsters from outer space, guys. I'm starting to wonder wha buld pen if they met in this World Cup. I really hope that moment comes soon.",reaction,,,
I think the lack of a hydration break really helped the pace of this second half. I’m happy for Mbappé and France but sad for Iraq they’ve done their best both matches criminal they’re stuck in this group with these folks,hot take,,,
That Viking chant from the Norway supporters giving Iceland 2016 vibes.. or even better,reaction,,,
France will get knocked out in the 1st round 100% a amazing team demolishes sides like these,hot take,,,
It’s like Brazil vs Haiti all over again,reaction,,,
Mbappe really wants all the goals this tournament. Might run himself into the ground by the time they get to the latter stages,hot take,,,
"The difference between Dembele, Olise and Barcola with Doue and Cherki is night and day.

Wow. France is so quality that they make Cherki look bad.",hot take,,,
Digne and Koundé are the worse players of the team.,hot take,,,
"So insane that Mbappe will likely be at least 2nd for all time WC goals by the time this is over, but Messi has been in twice as many WCs as him 🤯",analysis,,,
Mbappe has scored that exact goal against Juve,reaction,,,
Will Mbappe overtake Messi in World Cup goals? Messi 18 goals v Mbappe 15.,analysis,,,
"French stars just all over the field. I don't think they are beatable.

Criticisms of their defense? Lol, they have Saliba.",hot take,,,
"France often have these ""creative breaks"", chilling after taking the lead. But even a limited team like Iraq manages to create dangerous chances in those phases.",hot take,,,
"I think even last WC France was still better, Argentina only beat them because they were more passionate and determined. Now that Argentina are champions and probably don’t “need” to win another one, i think theres no debate. Without the determination, not even Messi can stand up to France. It will be an interesting match though",hot take,,,
The goal scoring race between Messi and mbappe is insane. Messi will probably only hold the record for couple of games before mbappe takes the record.,reaction,,,
France vs England with be the finals,hot take,,,
"
Kylian Mbappé has a goal record at the World Cup of 16 goals now. Only 2 goals shy of Lionel Messi",analysis,,,
If Pogba never got banned. This French team would be unstoppable. And they would have won the last world cup. ,hot take,,,
That’s the difference between France and Argentina. France is an actual team and not reliant solely on one guy to score.,analysis,,,
My goodness France attack is silly strong,reaction,,,
"I feel bad for Iraq errors in back to back matches where they’ve looked solid besides that 😭 doesn’t help they’re in a group with a WC contender, the team that deserved to be AFCON champs, and a dark horse team",reaction,,,
"Mbappe and Messi going band for band. Still unreal their runs in 2022. RW in 18, LW in 22 and now striker mbappe is that guy.",analysis,,,
80% bad pass 20% goal keeper slipped a bit,analysis,,,
Olise is pure quality.,hot take,,,
"Mbappe is now 1 goal behind Messi. Crazy that as Messi breaks the record for goals in his sixth appearance, Mbappe may shatter it and he’s only in his third",reaction,,,
Worst goal of the tournament. Iraq was just out to lunch.,reaction,,,
Olise still using psg tactics lol,analysis,,,
"Austria made it physical and didn't make things easy, but Messi's response was incredible. Two goals after that miss is the kind of mentality you expect from a legend.

The story keeps going.",analysis,,,
"There’s no denying Messi is a great player but he’s also lucky that his team mates really like him and are keen to help him score. They constantly pass him the ball even in instances when they are very well positioned to score a goal themselves. Ronaldo’s on the other hand, seem to hate him lol",hot take,,,
"Argentina has the easiest draw of all the big teams. The first big team they will encounter will be in the semi finals and I give them a good chance against England or Brazil so I think there is a very good chance we will see them in the final, if not certainly the semi final",analysis,,,
"Honestly if they didn't have Messi, Argentinian offense is really lackluster. So many times when they have the ball close to the goal, if Messi isn't close it's like the other players don't know what to do with the ball.",analysis,,,
"I mean, if you are lautaro martinez or Julian alvarez and you get the ball, why not pass it to messi. I mean he is right there, and he is messi. They have gotten plenty of goals before, and they will do if they need to. I dont doubt their capabilities",analysis,,,
"His awareness around the pitch is just spellbinding.

360 vision and a predator in the attacking 3rd.",reaction,,,
MESSI IS THE GOAT,reaction,,,
"Cape Verde robbed. Messi got to take a freekick and shoot at goal past injury time. They got one deep into Uruguay half down the right flank, perfect for a ball into box. That ref didn't let them and blew for FT",reaction,,,
"If not for the missed penalty, it would have been back2back hat-tricks",analysis,,,
"Messi becomes the 1st man on scoring the first 5 goals with his country on World cups, the goat",analysis,,,
Austria did make argentina work for atleast 1 goal. The second one was gifted. Literally. You cannot defend against Messi's accuracy IN THE BOX ( although he missed the penalty). Argentina defended decently. Austria lacked the finishing. They had two definitive shots to score and they couldn't capitalize well. Kudos to scaloni again for bringing subs at the right time. I would hope that scaloni would start with the reserve strength against jordan. Time to test the entire squad.,analysis,,,
"Messi's the goat, but Argentina didnt look very inspiring this game. Maybe they're just sleepwalking through the group stage but they need more going forward than just great moments from messi.",analysis,,,
"Argentina played poor today, even Messi tbh when he wasnt scoring, but they still managed two. Hopefully they can maintain this",analysis,,,
"Argentina in their first 2 matches: 5 goals all scored by Messi and haven’t conceded

They’re going back to back or what 🤯 Unreal performances",reaction,,,
Ronaldo has 5 non penalty goals in his world cup career. Messi has 5 goals through 2 games at 38 years old. 🐐,analysis,,,
Should’ve had an assist Alvarez fumbled and on the header too,reaction,,,
Most non penalty goals(5) in any of messi worldcup campaigns so far. He's 39 years old and only 2 games in,analysis,,,
Man Messi really is the whole team. Argentina needs to be better if they want to win it all.,reaction,,,
Arsenal can do without Alvarez thanks.,reaction,,,
5 goals No penalties btw,analysis,,,
They let Argentina take the free kick but not cape Verde ,reaction,,,
"the golden boot comp is already over after two games 💀
",reaction,,,
"Messi really has a solution for everything lol. If you fail once, try again, then try again, then once more. Actually just give it to Messi",reaction,,,
"13 goals over his last 6 WC games.

LMFAO. Who tf is doing this?",reaction,,,
"39 is the new 35, messi, lebron, pacquiao, brady",analysis,,,
"Argentina depending on old Messi to carry will get a reality check in round of 16. Algeria, Austria, and Jordan were never going to be a challenge tbh.",hot take,,,
Shout out to Austria's #4 who was slowly jogging back behind the play while Messi sprinted upfield and failed to get back to defend against that goal. When the goal happened he was bent over at the 18 with his hands on his knees. Austria's whole team looked gassed on that play while Messi was still going at 100%,analysis,,,
Bold defensive strategy by Austria to just stand still in front of the net while the most prolific goal scorer in the world has the ball in the box,reaction,,,
I think the “own goal” distinction in football is dumb. Like in hockey if the defense tips it in on accident it goes to the player that shot it. An own goal should be like if they go for a goalie pass and whiff it,analysis,,,
That’s 5 goals for Messi in this WC. ZERO for the rest of the Argentina team. This is a one man show!!!!,analysis,,,
Argentina wouldn’t be as goated without Messi,hot take,,,
Messi is the real deal.,reaction,,,
Ronaldo will avenge Austria by preventing a Portugal victory next game.,hot take,,,
I will laugh from a deep healthy place tomorrow if Ronaldo gets too greedy for the finish and blows the Portugal win against Uzbekistan. I think itd be good for my health to laugh that hard seeing him do his little wince and shoulder shrug after he bombs every shot over the stands. And by no means do I want to see Portugal lose.,hot take,,,
"Argentina are lucky they have Messi, he is literally the entire team. Total respect to him but they have to do better if they want to win the whole thing imo",analysis,,,
History was made in this game. Messi is #1 goal maker of all time. Now in a Worls Cup,analysis,,,
All 5 goals scored by because other finishers not that good,analysis,,,
"Do the argentinians deserve it? no. Does austria have any excuses? No. Did the Ref rigg the game, absolutely.",reaction,,,
"messi created a chance, gave an assist then guy missed it but messi didn't, this is what makes Messi a lot different than Ronaldo",analysis,,,
Argentina without Messi will have a big problem in the future,analysis,,,
"I am shocked 4 years ago people wondered if this guy could win it all. I love watching Argentina. I dont know what it is, but it’s exactly how I was taught to play soccer. I see thier runs and the field open up, and it just speaks to me.",reaction,,,
Messi makes scoring goals look easy ,reaction,,,
"Those austrian players looked like deer caught in the Messi headlights.
Complete panic and frozen in fear as Messi wandered around in their box.",reaction,,,
"
Of all the goats, Messi the most Goated",reaction,,,
Well thank you Argentina for beating the spread and Messi getting 2+ goals.,reaction,,,
"
This 38 years and 363 days old man just scored against a GK and four defenders, wtf.",reaction,,,
The Messi Ronaldo debate should end after this WC,reaction,,,
"
Mbappé will have way more WC goals by the end of his career.",hot take,,,
Ronaldo is gonna crash out after seeing this,reaction,,,
Messi is undeniably the best. 5 goals. 5. Goals.,reaction,,,
"Apart from messi, their finishing is terrible",analysis,,,
"Everyone knew with the expanded format that the traditional powerhouses like Germany, Brazil, and Canada would be able to put up big wins like that.",analysis,,,
Fun fact they beat Haiti 7-1 ten years ago during Copa America,analysis,,,
40 G/A for Vini this season,analysis,,,
Paqueta is playing like a boss in the midfield.,reaction,,,
"Was at an el classico watch party in Atlanta a few years ago. Tons of Spanish expats 60% real, 40% Barca. A TON of banter, because they mostly all knew each other. Messi scored at the death to win and a kid this age in a Real jersey was bawling and trying to hide it. A couple guys in Barca jersies were really working to make him feel better.",analysis,,,
Uzbek was playing a low block for 80 minutes until they decided to begin shooting. They were playing to not lose which is a recipe for *checks notes* losing. Their lone goal was a lucky break from a sloppy save by Vargas.,analysis,,,
My guess for all 4 upcoming matches today Czechia winning against south africa 2-1 Switzerland beating Bosnia 2-1 Canada beatign Qatar 2-1 and Mexico beating South korea 2-1,analysis,,,
South Africa will win or draw. Switz will beat bosnia. Canada will beat or draw and south korea will beat Mexico,hot take,,,
Colombia looked really convincing here. 61% possession and 15 shots tells the full story — Uzbekistan simply couldn't handle the pressing intensity. Campaz sealing it at 90' was the cherry on top. Great start for Colombia in Group K.,analysis,,,
"Uzbekistan had solid passages in the second half after being too passive in the first. Colombia had their moments and took advantage of them. They also had a higher quality of players but Lorenzo's tactics, James, and not making subs is going to limit their potential",analysis,,,
Colombia have two of the top 3 so far IMO.,hot take,,,
"Uzbekistans true ranking would be around 20-30, so it is expected of colombia to struggle and not have a comfortable game",analysis,,,
"That was just beautiful. Best game, final sequence, and energy I've seen this cup. Glory to Uzbekistan and congrats to Colombia!",reaction,,,
Those last ten minutes ... almost could've been a 3-2 UZB win. Theoretically.,reaction,,,
"UZB is not a serious team in this tournament but quite frankly this is what you have to do to them if you’re COL it really should’ve been sooner, they will probably go out to a top team but they should win this group now and then go out quietly to Argentina in the quarterfinal",analysis,,,
"A win for Colombia, but Vargas antics struck again. Not to mention James wasn’t great either.",analysis,,,
"3-1 flatters Colombia, a more experienced team would have won that",analysis,,,
Probably the most fun match I watched today.,reaction,,,
What a disorganized defense. If that were a good team we wouldn't have won,analysis,,,
"Goodness gracious, Colombia with the two best assists of the tournament in a single game",reaction,,,
Portugal gonna finish 2nd in the group,hot take,,,
"This tournament has the Columbus Crew, Ohio’s MLS club, written all over it",hot take,,,
England’s World Cup experiences will still be better than that of most countries bar a small number of 4-5 teams.,analysis,,,
Vini be cooking!!! 2 assists and a goal! Yeah boi!,reaction,,,
"So the defensive line is standing so high that Haiti's back 4 are at the halfway line and their goalkeeper is just chilling in the 5m box and this against a team with speedy runners?

Yeah glad Brazil punished them for this",analysis,,,
"Nothing to sorry about, Brazil needs to ramp up the score line as much as they can tbh",analysis,,,
It's a beautiful finish as well. Finally Brazil can display their individual quality - but can they do it against a better opponent?,analysis,,,
it's disappointing. 54 years since our last WC at least I got to watch it with my dad who always talked about our first WC appearance. I wished they could've given us a goal to give us some kind of hope. We need start actually start developing talent from a young age instead of having to convince diaspora who can't get into another countries squad. Start some academies and start developing an identity as a nation on the field.,reaction,,,
Thing I learned tonight which I found crazy is that they qualified for the World Cup without playing a single qualifier at home. They should be very proud of their performances so far,analysis,,,
It's worth it to circumvent the stupid team A loses to team B and gets ahead because they beat team C by 6 goals whereas B beat them by only 3,analysis,,,
Tactically they tried interesting things and didn’t just sit back to park the bus. They just lacked quality in the final third to punish Scotland or ask questions of Brazil. ,analysis,,,
"Messi 5 goals, Ronaldo 0. Let's see how he responds 😂",reaction,,,
Messi has scored every single goal in Argentina's WC campaign so far.,analysis,,,
Alvarez showing why he only had 6 non-penalty goals in La Liga last season tho,analysis,,,
Complete control by Argentina. Austria gave up after half time.,analysis,,,
Mbappe is currently at 14 and has an additional 2+ world cups in him. He can catch him eventually,analysis,,,
"No one will catch 18 WC goals. Too far ahead.


",hot take,,,
"Wow that result is pretty harsh for Uzbekistan because they honestly looked great. Was really surprised

And damn what a rocket at the end! I wish they got that because 2-3 would’ve felt more fair",reaction,,,
" mean, if you are lautaro martinez or Julian alvarez and you get the ball, why not pass it to messi. I mean he is right there, and he is messi. They have gotten plenty of goals before, and they will do if they need to. I dont doubt their capabilities",analysis,,,
"At the end of 2012, Messi earned the dubious record (dubious because it's not a record and nobody cared before or since) of scoring the most goals in a calendar year with 91.",hot take,,,
Colombia have two of the top 3 so far IMO.,hot take,,,
